0,1,2
心包积液,症状,病情描述发病时间、主要症状、症状变化等）：患者：男，42岁。先天性心脏病。病情如下：走路气喘，不能拎重物，面部、眼睛发黄，肝腹积水、<entity>，皮肤有湿疹。在医院的胸部后前位影像诊断报告为：双肺纹理相对细小、稀少，双肺门稍小，呈缺血表现。心脏普遍增大，呈无力型，心胸比例为0.71，心尖圆钝，以右心室增大为主，肺动脉段平直。主动脉结不大。膈面光滑，肋膈角存在。曾经治疗情况和效果：目前医院用利尿剂治疗想得到怎样的帮助：诊断是否为肺动脉狭窄？能否动手术？在哪动？
心包积液,症状,病情描述发病时间、主要症状、症状变化等）：彩色超声多普勒报告心脏：心尖四腔心：见肺静融合呈一共同静脉干流入右房；1、右心明显增大，左心大小正常；2、房室间隔连续、完整；房间隔中下份可见一回声失落区，大小约19.0，下缘约0mm，CDFI：可探及房水平左向右分流血流束，Vmax=106cm/s；大动脉水平见确切分流；3、室间隔及左室壁厚度及运动正常，静息状态下左室壁心肌节段性运动未见异常；各瓣膜形态及结构未见明显异常；4、主动脉内径增宽，肺动脉内径正常；未见<entity>；5、CDFI：三尖瓣可见中度反流，各瓣口未见异常血液及频谱，肺动脉收缩压62mmHg.TVI：Ve>Va检查提示：先天性心脏病：完全型肺静脉异位引流；房间隔缺损下腔型19.0mm房水平左向右分流）；右心明显增大；肺动脉增宽；三尖瓣中度关闭不全；肺动脉高压收缩压62mmHg）想得到怎样的帮助：想了解一下这个病情，该到哪些医院治疗，大概费用要到少！
心包积液,症状,病情描述发病时间、主要症状、症状变化等）：突发心肌梗塞并发肺梗塞和肺大面积炎症上周一突发胸痛晕厥，晕厥几分钟后苏醒，大便失禁，送医院急救过来呕吐数次，CT结论：1，主动脉全程未见确切主动脉夹层表现2，双侧胸腔中午量积液及邻近组织压迫性不张及炎性改变3，<entity>及腹腔积液.4，右肾囊肿5，胆囊窝积液，轮廓毛糙，明显强化，考虑多为胆囊炎.老师：患者以前血压正常，血糖正常，血脂3.33，身体特好，体型胖，无任何病症.这次是上厕所跑快了突发的病.抽胸水检测测定值：颜色：红色，透明度：浑浊，凝固：无凝块，粘蛋白定性：阴性，有核细胞数：90，淋巴细胞：80，中性分叶粒细胞：20总蛋白：22.0葡萄糖：6.28乳酸脱氢酶：90.0腺苷脱氨酶5.9超敏感C反应蛋白10.95血清检测：C-反应蛋白46.5血液检测：血沉分析：30二氧化碳分压50剩余碱6.2D-二聚体242纤维蛋白原4.524凝血酶原时间比值0.725曾经治疗情况和效果：已经用了头孢替唑钠，果米二磷酸针，丹参酮IIP硫酸钠，厄贝沙坦片，硫酸氢氯呲格雷片，低分子量肝素钙，甲磺酸帕球沙星(五天后改用头孢米诺钠和依替米星加丹参铜，马来酸氯苯那敏片)患者用了以上药产生药疹，就用了马来酸氯苯那敏片和葡萄糖酸钙注射液和地塞米松磷酸钠来抗过敏.问题：1.马来酸氯苯那敏片和葡萄糖酸钙注射液和地塞米松磷酸钠这三种药的禁忌上明显写着心血管疾病，心肌梗死，血栓症不能用，会导致病人突发生命危险.是吗?这种病人不用这三种药行吗?况且病人的血压还不稳定的情况.想得到怎样的帮助：请老师解答我的提问，谢谢
心包积液,症状,岁间断胸闷、心慌1月余纳差10余天加重并腹痛2天患者有乙型肝炎2年检查示大三阳否认既往有结核病史曾经治疗情况和效果：在当地医院在多家医院诊疗1月余未找出病因按照结合给予实验性治疗并行心包穿刺抽出暗红色血性液并有大量胸腔积液呈茶色本次入我院检查发现大量<entity>左侧胸腔大量、右侧中量胸腔积液化验示乙型肝炎大三阳肝功能极差入院时谷丙转氨酶398U/L谷草转氨酶1180U/L心肌酶高血小板低20&times;109/L（10的9次方）给予行心包及左侧胸腔穿刺穿刺留置细引流管2天间断引流出心包内暗红色血性液2000ml胸腔积液（茶色）2000ml并给予输红细胞、血浆、冷沉淀及血小板治疗及对症治疗患者感症状减轻但仍有大量暗红色血性液引出左侧胸腔积液基本消失肝功能仍较差化验提示CA-125高其余未发现明显异常抗结核抗体阴性甲胎蛋白及癌胚抗原均阴性想得到怎样的帮助：患者为何种疾病及诊疗方法？（）
心包积液,症状,超声诊断；先天性心脏病房间隔缺损（中央型）21—23mm轻度肺动脉高压房水平左向右分流右心扩大，肺动脉增宽<entity>（微量）主动脉壁外侧未见明确房间隔残余边缘，没有，从未有任何症状必须做手术吗？在北京做手术大概费用是多少？？？
心包积液,症状,超声所见：右心增大左房室大小正常主肺动脉内径正常房间隔薄弱伸展径55毫米中份回声失落约10毫米前缘无残端余残端可未见确切肺静脉异位引流声像管状静脉窦无增粗开口于右房室间隔连续室间隔与左室后壁厚度及搏幅正常左室壁整体运动协调三尖瓣稍增厚关闭裂隙TVD（D/S)=47/50毫米开放可；余瓣膜结构未见明显异常主动脉弓降部内径正常多普勒检测：房水平探及左向右分流；室水平及大血管水平未见确切分流三尖瓣大量反流Vmax=3.0m/sPG=35mmHg;二尖瓣微量反流；余瓣膜口两侧均未探及异常血流信号超声诊断：先天性心脏病房间隔缺损（继发孔-中央型）房水平左向右分流心瓣膜病三尖瓣反流（重度）左室收缩功能测值正常个人症状：去年八月份突然出现早搏现象接着检查出有大量的<entity>到成都省医院住院一个月住院期间做了各种检查最后检查出是先天性心脏病现在上楼或上山爬坡累在平路上行走并说话或者打电话会感觉累气短曾经治疗情况和效果：保守治疗偶尔吃“生脉饮”口服液想得到怎样的帮助：想咨询我这样的病情在你院最好做什么样的手术？微创小切口还是开胸手术？
脑梗死,疾病,血栓性疾病为何会导致心肌梗死、<entity>这类疾病的发生？
脑梗死,疾病,你好我父亲2年前因<entity>瘫痪在床有意识但是只是活在自己的世界我父亲同时患有扩张性心肌病心功能四级并随之伴有心律不齐、房颤、栓塞一系列疾病因长期卧床不起前几天不能排除小便经诊断有尿结石、肾结石以及前列腺肿大因身体状况医院不同意做手术目前进行导尿管导尿并进行消炎但是他一边手乱抓东西经常把导尿管扯掉把针头扯掉请问有什么好的医疗器械可以固定他的手臂不让他扯导尿管和针头因为我们自己简易捆绑怕磨伤他的皮肤另外请教有没有好的治疗方法当初也曾考虑膀胱造瘘但是他也会扯掉那些管子所以尚未进行而且医生说还没有达到需要造瘘的地步曾经治疗情况和效果：心脏病和栓塞都去过医院治疗现在主要是尿不出来在医院导尿和消炎想得到怎样的帮助：一方面有没有好的治疗方法另一方面有没有固定手臂的支架或器械因为他半边瘫痪能活动的那只手力气非常大一般人稳不住他的手而且只要脱离我们的视线他就会去拔管、拔针头我们不可能24小时看守谢谢你们急求指点（）
性欲减退,症状,肾虚4年左右。现在有早泄.勃起不坚.<entity>等症状.吃什么药好？曾经治疗情况和效果：无想得到怎样的帮助：感谢医生为我快速解答、
房性早搏,症状,我于一个月前，在天冷风大时淋了雨感冒了，当天吃了乌鸡，之后有所好转又吃了鱼，随后感冒加重，有时鼻塞严重只能用口呼吸。一个多月了，经过喝姜汤及热水泡脚，并先后吃了不少感冒药（包括：感冒清热颗粒，抗病毒口服液，伤风停胶囊，以及看中医吃了七天的治感冒和鼻炎的中草药），现仍有三方面的问题：每天仍常出现鼻塞，多出现于吃饭时和半夜（多于三、五点钟左右），只能靠中药成份的“半分钟濞琰康喷剂”维持正常呼吸，每天喷4-5次，用了一瓶多仍未见好转。感冒后每次例假完的10天内就会在凌晨4、5点钟左右出现心脏不适，跳2-3下停顿一下，不能躺下，只能坐立或站起来。先前出现呼气短，最近变成吸气短（吸到后面气管感觉痒），闻到油烟或感觉凉时会干咳，咳嗽或哈气时能听到喉管还是气管里有嘶嘶的声音。现在仍时有感觉忽冷忽热，背部发热，总觉感冒还未好，有时出现右胸靠脊骨中间段处有刺痛，有时心脏出现闷痛。另月经不调且量大，每次提前7-8天，吃补气的药后有所改善，不吃又复原。注：两年多前也在重感冒并遇例假后出现过本次除了鼻塞之外的其它症状，并且情况更为严重：极度口渴，经常易饿，严重失眠，多在吃饭时出现胸闷、气短、呼吸困难，心跳快、脉微弱；双腿无力，走路100、200米就喘不过气来，自感心脏衰竭。曾经治疗情况和效果：两年前检查：多次急诊，每次吸氧后能缓解；慢性咽喉炎，有滤泡增生；心脏B超显示三尖瓣口收缩期有少量返流，肺动脉瓣口舒张期轻度返流；动态心电图提示窦性心律，偶发室性、<entity>，偶发一度及二度一型房室传导阻滞；胸片显示心肺正常；颈椎变直，但未压迫神经；无心肌炎；无甲亢，甲状腺无占位性病变；双侧颈部数个淋巴结肿大，血供不丰富；血脂正常，生化指标正常；饭前血糖正常，饭后血糖值9.6；慢性浅表性炎，HP（+）；有子宫肌瘤（2CM大）；血常规中的红细胞类数值均在最低标准偏下一点。治疗：两年前中药调理近两个月，渐好转，仍时有傍晚出现呼气短及干咳（咳嗽或哈气时能听到喉管还是气管里有嘶嘶的声音）、午后发热，长期低热（37.2-37.5度），有时双手麻木（多为左手）。这次吃药效果甚微。想得到怎样的帮助：请问如何治疗鼻塞？请分析凌晨心脏不适属心脏缺血还是血管堵塞？气喘由于慢性咽炎、支气管炎、还是阻塞性肺部疾病。
房性早搏,症状,时间不定几个星期就犯一次症状为脉搏快几下停几下精神有点发慌2007年5月14日心肌梗死治疗后心脏放支架2008年春病情发曾经治疗情况和效果：2008年春开始治疗做过12导同步动态心电图1：窦性心律<entity>（部分成对）3：偶发房性逸博4：室性早搏（部分成对）5短性室性心动过速6阵发性心房颤动（部分伴室内差异传导）用胺碘酮每日一片及乐脉颗粒想得到怎样的帮助：怎样预防及治疗（）
强迫症,疾病,心理疾病除了抑郁症和<entity>还有哪些？
强迫症,疾病,我有很多心里疾病，抑郁症，焦虑症，<entity>
强迫症,疾病,<entity>这种疾病是怎么产生的?
强迫症,疾病,<entity>这种疾病是怎么产生的啊
强迫症,疾病,请问<entity>这种疾病是怎么产生的
强迫症,疾病,<entity>这种疾病是怎么产生的呢？
强迫症,症状,<entity>的症状是什么？
强迫症,症状,我妈妈前几年就患有<entity>症状最近有复发的症状可以用兰释吗
强迫症,症状,本人抑郁症8年了，最近一年出现了<entity>状
强迫症,症状,抑郁症8年了，最近一年出现了<entity>状，请
强迫症,症状,抑郁症8年了，最近一年多出现了<entity>状，
强迫症,症状,你好<entity>患者用百优解能改善自己的症状吗
强迫症,症状,抑郁症，焦虑症，<entity>状
心脏病,疾病,病情描述发病时间、主要症状、症状变化等）：我外婆以前有<entity>的，一个星期前去医院做手术治疗去了，现在因为这个心脏直视手术引起了神经疾病了，请问我外婆得了这个疾病要怎么治疗才行呀想得到怎样的帮助：心脏直视手术所致神经疾病要怎么治疗?
心脏病,疾病,一运动心跳就厉害是不是有<entity>？？结婚后就一定没有去做过体育运动了，现在开始有点发福的现象，老婆让我每天晚上都坚持出去运动半小时，昨天晚上我在小区里面慢跑的时候，发现我一运动，心跳就非常的厉害，还出现了呼吸短促的现象，今天晚上又是如此，我很担心有没有什么疾病。。我一运动心跳的就非常的厉害，这是不是有了<entity>了啊？
心脏病,疾病,"我妈,74岁,,一个月前开始,右小腿浮肿\走路疼痛。白天和晚上一样，不缓解。到医院做彩超、验尿、x线检查正常。以前没有患过<entity>等其他疾病请问医生，这是什么原因？咋治疗？"
心脏病,疾病,左胸口不舒服没精神有时气短睡眠不好一在意呼吸就出汗总担心自己有<entity>曾经治疗情况和效果：心电图胸片正常血压也正常想得到怎样的帮助：是心理疾病吗（
心脏病,疾病,胸闷是一种主观感觉，即呼吸费力或气不够用。轻者若无其事，重者则觉得难受，似乎被石头压住胸膛，甚至发生呼吸困难。它可能是身体**的功能性表现，也可能是人体发生疾病的最早症状之一。不同年龄的人胸闷，其病因不一样，治疗不一样，后果也不一样。一、功能性胸闷（即无器质性病变的胸闷）：在门窗密闭、空气不流通的房间内逗留较长时间，或遇到某些不愉快的事情，甚至与别人发生口角、争执，或处于气压偏低的气候中，往往会产生胸闷、疲劳的感觉。经过短时间的休息、开窗通风或到室外呼吸新鲜空气、思想放松、调节情绪，很快就能恢复正常。像这一类的胸闷可以说是功能性的胸闷，不必紧张、也不必治疗。二、病理性胸闷（即有器质性病变的胸闷）：胸闷不仅可以是生理性的，也可以是由于身体内某些**发生疾病而引起的，即病理性的胸闷。如：1.呼吸道受阻：气管支气管内长肿瘤、气管狭窄，气管受外压（甲状腺肿大、纵隔内长肿瘤）；2.肺部疾病：肺气肿、支气管炎、哮喘、肺不张、肺梗塞、气胸；3.心脏疾病：某些先天性<entity>风湿性心脏瓣膜病、冠心病、心脏肿瘤；4.膈肌病变：膈肌膨升症、膈肌麻痹症；5.体液代谢和酸碱平衡失调等。病理性胸闷可以突然发生，也可以缓慢发生。突然发生的多数是由于急性外伤性或自发性气胸，急性哮喘、急性气管内异物<entity>急性发作、急性肺梗塞等。缓慢性的胸闷则是随着病程的延长，症状逐渐加重。儿童发生胸闷多数提示患有先天性<entity>或纵隔肿瘤；青年人发生胸闷多数提示患有自发性气胸、纵隔肿瘤、风湿性心脏瓣膜病；老年人发生胸闷多数提示患有肺气肿、冠心病等。总之，对于胸闷必须引起重视，以免延误必要的治疗。你应该到医院去进行胸部透视、心电图、超声心动图、血液生化等检查以及肺功能测定，以便临床医师进一步确诊。
心脏病,疾病,晚上睡觉做梦有时是半梦半醒感觉心脏难受还有肌肉跳动有梦魇的感觉似乎感觉自己要死了有一段时间隔几天会有一次我前段时间晚上不睡觉白天睡觉但是不是很多我是属于一天都在电脑上的人有一段时间就发现自己睡觉就很容易梦魇而且感觉心脏跳的很快呼吸急促而且感觉自己胸前四肢有肌肉跳动情况前几天改变了作息症状消失但是3天后昨天我晚了点睡晚上又这样了我不知道自己是不是属于心脏神经性宫能症的范畴或者是自己过度劳累因为一直没有去过医院也从没有吃过药以前有很长的手淫史基本每天一次小时候听家里人说好像我心脏不是很好但是具体的我也不清楚就是从我晚上不睡白天睡觉那时候开始这样了前几年没有这样的情况曾经治疗情况和效果：我的外公有心脏疾病但是他属于老年正常的<entity>变想得到怎样的帮助：我想确认目前我属于什么样的情况我生活上需要注意什么这种肌肉跳动或者梦魇的情况有什么办法能改善吗
心脏病,疾病,厂里的个同事最近常常顾虑重重即担心查不出疾病患了<entity>迟早要出危险又担心去做相关检查不安全送到人民医院做了检查后发现是神经官能性<entity>请问神经官能性<entity>患者要注意什么？曾经治疗情况和效果：请问神经官能性<entity>患者要注意什么呢？（）
心脏病,疾病,你好请问<entity>包括哪些疾病对寿命有没有影响平时要注意些什么.要做哪些检查才能查出是否有<entity>.(除了心电图)
心脏病,疾病,我姥爷原来就有<entity>可是最近姥爷精神有些不正常不爱说说话也不怎么吃东西到医院检查医生说是心脏直视手术所致神经疾病想了解一下这个病应该怎么治疗才好呢曾经治疗情况和效果：心脏直视手术所致神经疾病怎么治疗呢？（）
心脏病,疾病,"无缘无故每天总是感觉自己会突发<entity>和脑？无缘无故每天总是感觉自己会突发<entity>和脑部疾病死亡，有时胸部疼痛，有时头脑疼痛，有时颈部疼痛，疼痛的时候总感觉自己会突然死亡，好难过，晚上睡两个小时就会醒。醒了就睡不觉了，检查过，脑部胸部ct,心彩超，24小时心电图，心肌酶，tcd.心电图。"
心脏病,疾病,每次在吃辣热的东西时心脏就会跳动的异常强烈在快速走路捎长一点后就后感到呼吸不顺畅心脏跳动异常我四季手脚都是冰凉的在平常的时候心脏也偶尔会急速跳动（我不减肥不节食也不吃什么药物）每天早晨起来如果昨天晚上是平躺着睡觉的话心脏位置就会感觉异常压抑就好像心脏位置有重物压一样特别的特喘不过来气这是怎么回事呢？我家里有<entity>史所以我担心是不是我也有心脏方面的疾病曾经治疗情况和效果：我有在医院做超声心动图医生说很正常但我还是有点担心把其中的数据发上来二维测值：左房内径27ＭＭ主动脉根部内径19ＭＭ右室内径22ＭＭ室内隔厚度8ＭＭ左室舒末内径46ＭＭ左室后壁厚度7ＭＭ肺动脉内径18ＭＭ多普勒测值：肺动脉瓣1.00m/s反流程度：/：三尖瓣0.84m/s反流程度：微量；二尖瓣Ｅ0.94m/s反流程度：微量；主动脉瓣1.05m/s反流程度：/.想得到怎样的帮助：想知道我是否有心脏方面的疾波）
心脏病,疾病,心房间隔缺损疾病具体检测结果：心脏各房室大小测值未见异常室壁动度未见明显异常房间隔中部回音中断CDFI记录到左向右分流的过隔彩束宽4mm分流速度0.9m/s三尖瓣口返流束长9mm宽3mm肺动脉瓣口返流束长8mm宽2mm1.先天性<entity>房间隔缺损（些2.三尖瓣及肺动脉瓣轻度返流曾经治疗情况和效果：早产35周加5天想得到怎样的帮助：严重吗？如何治疗？（）
心脏病,疾病,<entity>吃什么菜好？我年轻的时候就有<entity>，但不是很严重的，随着年纪的增长，我觉得我要越来越注重这方面的疾病，我的情况还没有严重到要吃药，请问，平时有什么菜啊之类的对<entity>有一定的改善作用呢？。请问<entity>吃些什么好呢？
心脏病,疾病,先天性<entity>属于重大疾病吗
心脏病,疾病,心脑血管疾病：准确地说是有点心律不齐，五？心脑血管疾病：准确地说是有点心律不齐，五福心脑康和心可舒两种药同用能治疗吗？谢谢！曾住过院治疗过，但感觉不够彻底，有两三年时间了，服用过活心王，效果不佳，一月前服用心脑康和心可舒效果好，心率正常啦。奶奶曾是<entity>五福心脑康和心可舒两种药同用能治疗心律不齐吗？
心脏病,疾病,个月患者现在6个月1.伴有先天性<entity>2.左右心房之间间隔基本上完全缺失长度达18mm3.可能伴有染色体疾病正在预约中未能确定曾经治疗情况和效果：未治疗想得到怎样的帮助：1想找一家权威医院重新检查确定是否可以医治多大可以医治有必要医治吗（）
心脏病,疾病,天42天婴儿室间隔缺损（膜周）肺动脉瓣狭窄卵圆孔未闭所患疾病：先天性<entity>患者女42天做产后复查医生听出心脏有杂音做彩超检查所见：主动脉内径7.4mm血流速度142cm/s肺动脉内径8.3mm血流速度296cm/s右室流出道12mm左房15mm右室7.7mm左室舒张末内径24mm收缩末内径14.4mm射血分数73%E峰138cm/sA峰150cm/s1左心饱满右心内径大致正常;2室壁厚度及运动幅度未见异常；3室间隔膜周部中断约2.4mmCDFI：室水平可见左向右分流信号CW测最大分流速度323cm/s压差41.7mmHg；4房间隔中部可见回声缺损约1mmCDFI：可见左向右低速分流；5CDFI：二尖瓣可见极量返流信号三尖瓣可见极量返流信号肺动脉瓣瓣尖稍厚回声稍增强开放略受限CW测肺动脉瓣前向流速296cm/s压差35mmHg；6大动脉水平未见明显分流42天婴儿曾经治疗情况和效果：无想得到怎样的帮助：孩子的病严重不需要手术吗何时手术还应注意什么现在怎么办（
心脏病,疾病,"最近就是给孩子喂奶,还上班,比较辛苦,偶尔心疼,多在早上,大约3-5分吧,疼时深吸气更疼,蹲下更疼,以前没<entity>,家族没人得<entity>,是否需做心电图?我上班用电脑,总坐着,坐时间长也会后背疼.我是否得心脏疾病了曾经治疗情况和效果：无想得到怎样的帮助："
心脏病,疾病,心口抽痛？最近心口会偶尔抽痛一下，一阵一阵的，这个情况持续了差不多一个多星期了。有时候一痛还会牵扯到咽喉和头痛，但是过一会深呼吸一下喝点水又好很多了，这样会不会是<entity>啊，还是只是供血不足引起的。。心口抽痛是<entity>吗？还是其他的疾病？
心脏病,疾病,你好我父亲2年前因脑梗死瘫痪在床有意识但是只是活在自己的世界我父亲同时患有扩张性心肌病心功能四级并随之伴有心律不齐、房颤、栓塞一系列疾病因长期卧床不起前几天不能排除小便经诊断有尿结石、肾结石以及前列腺肿大因身体状况医院不同意做手术目前进行导尿管导尿并进行消炎但是他一边手乱抓东西经常把导尿管扯掉把针头扯掉请问有什么好的医疗器械可以固定他的手臂不让他扯导尿管和针头因为我们自己简易捆绑怕磨伤他的皮肤另外请教有没有好的治疗方法当初也曾考虑膀胱造瘘但是他也会扯掉那些管子所以尚未进行而且医生说还没有达到需要造瘘的地步曾经治疗情况和效果：<entity>和栓塞都去过医院治疗现在主要是尿不出来在医院导尿和消炎想得到怎样的帮助：一方面有没有好的治疗方法另一方面有没有固定手臂的支架或器械因为他半边瘫痪能活动的那只手力气非常大一般人稳不住他的手而且只要脱离我们的视线他就会去拔管、拔针头我们不可能24小时看守谢谢你们急求指点（）
心脏病,疾病,我先天性<entity>，当时有动过手术，现在主要是心跳有问题，很担心自己的疾病，是不是二尖瓣心型，怎么回事很担心，是不是因为心脏那时候没有安装好，怎么治疗
心脏病,疾病,我一直都是很着急的我现在都是不知道怎么回事的我现在都是得了严重的<entity>的我的医生一直都是叫我尽快手术的我现在都是想自己了解清楚的啊我现在得了心脏直视手术所致神经疾病的很担心啊曾经治疗情况和效果：请问一下你得了心脏直视手术所致神经疾病的病怎么回事？（）
心脏病,疾病,你好医生，我今天早上受到一次严重的惊吓，然后心跳出的很厉害，感觉都快跳出来了，到现在还是有点不舒服感觉心慌，想问下要紧吗，会吓出<entity>吗？想得到怎样的帮助：受到严重惊吓会引起心脏疾病吗
心脏病,疾病,PP彩超结果：主动脉瓣下与肺动脉瓣下室间隔连续中断断口0.95CM主动脉右冠瓣向下移位部分堵塞室间隔缺损部位主动脉右冠窦向右室侧膨出大小0.72*0.45CM室间隔连续中断部位见左室到右室分流信号彩流速度1.0CM分流速度Vma*5.24m/s肺动脉分叉部位未见分流.BR超声提示：先天性<entity>室间隔缺损(双动脉肝下型)主动脉右冠瘤(未破)P目前一般情况：目前身体状况良好近几年呼吸道感染疾病较少心跳有时过快有胸闷/气促有时会有喘不过气想疾息的感觉不可以做较大运动量偶尔有头晕但都是身体虚弱不够营养引起的.Pid=box7到目前为止从未治疗过.请问现在患者的情况如何如果唔做手术的话有危险吗是否可以结婚生小孩应该做哪仲手术可以介入吗费用大概几钱女P
心脏病,疾病,我妈妈得了肾上皮质功能减退性<entity>了以前也的心脏就不是很好现在又患上了这个疾病我和我哥哥好担心我妈妈的身体情况请问一下得了这个病的患者要吃什么才好？想得到怎样的帮助：吃什么以肾上腺皮质功能减退性<entity>好？（
心脏病,疾病,病情描述发病时间、主要症状、症状变化等）：最近听说以前的一个同学患上了瓣膜性<entity>，他以前身体非常的健康，不知道什么原因导致患上了这种疾病，所以他一直想治疗好。想得到怎样的帮助：要怎么预防患上瓣膜性<entity>？
心脏病,疾病,出生儿先天性心脏疾病最佳治疗时间、治疗效果和国家相关政策新生儿女2012年5月16日生心脏彩超检查结果：1、检查所见：右室前壁：3MM；右心室：11MM；室间隔：3MM；左室后壁：3MM；主动脉根部内径：8MM；主动脉开放幅度：5MM；升主动脉：6MM；左心房：7MM；右心房：13*11MM；肺动脉内径：12.6MM；左心室舒张末径：7.5MM容量：95ML；左心室收缩末径：5.2MM容量：33ML;心搏量：61ML;EF：65%；FS：31%2、右房、右室增大可见两条大血管均起源于右心室正常主、肺动脉关系消失短轴切面两大血管呈圆形主动脉位于右侧肺动脉内径稍增宽肺动脉瓣下未见明显狭窄右室壁不厚肺动脉瓣未见增厚活动曲线未见明显异常室间隔增厚室间隔与左室后壁同向运动室间隔回声失落连续中断缺损口约6MM彩色多普勒显示：右室血流分别射入主动脉和肺动脉左室血流经室缺损口及右室进入主动脉肺动脉血流未见明显异常3、检查提示：先天性<entity>考虑右室双出口若（主要症状：难以哭出声哭时脸色转黑嘴唇发紫哭出较大或较长声后状况好转）曾经治疗情况和效果：无想得到怎样的帮助：出生儿先天性心脏疾病最佳治疗时间、治疗效果和国家相关政策
心脏病,疾病,我外婆以前有<entity>的一个星期前去医院做手术治疗去了现在因为这个心脏直视手术引起了神经疾病了请问我外婆得了这个疾病要怎么治疗才行呀曾经治疗情况和效果：心脏直视手术所致神经疾病要怎么治疗（）
心脏病,疾病,半夜突然舌头像针剌一下的钻心疼，已经有好几回了，不知是什么原因？是不是<entity>的提示，或其他疾病的提示？
心脏病,疾病,之前左胸比较难受去医院做了心电图及CT心电图无异常CT显示为胸膜粘连[有化验单照片]还做了结核测试医生只是说有点点象但是不明显其他无毛病曾经治疗情况和效果：医生开了些消严药说吃一星期还难受就打几针注意休息不要操劳过度我吃完一星期后还是感觉无好转想得到怎样的帮助：最近这半年我发现自己手脚指甲都是鲜红色有如涂了指甲油在网上搜索了一些知识说：指甲个案6：自我诊断：呼吸系统、心血管和营养障碍性疾病手指末端较粗如同鼓槌指甲呈鹦鹉嘴状甲床颜色较正常深呈现红色或者紫红色这些指甲征象常见于呼吸系统疾病、某些心血管病和营养障碍性疾病譬如支气管肺癌、肺脓肿、紫绀型先天性<entity>、亚急性感染性心内膜炎、肝硬化等等上述疾病可以导致肢体末梢慢性缺氧、代谢障碍因此出现了手指末端增粗呈棒槌状而甲床颜色变深呈现血流丰富的红色这时千方不可大意要上医院接受正规治疗请医生给我些建议还应该注意些什么该如何治疗该做什么检查我体质不好我现在很担心求医生救救我吧~~~有人说是紫绀我查了下好象有根据请专家们给我指示下还需要做什么检查半个月前又做过一次体检没什么毛病请问如果真跟五脏有关我还需要做什么检查挂号的话去哪个科室或者告诉我下该如何治疗病情会不会严重~~好害怕啊~（）
心脏病,疾病,新生儿患复杂先天性<entity>能治好不？大概需要多少费用？治愈后会不会留下后遗症？会和正常小孩一样吗？53天检查超声提示：1法洛四联征2右心增大右室壁增厚3室间隔缺损干下型室水平双向分流4房间隔多发缺损继发孔中央型5主动脉骑跨6肺动脉主干及其分支发育不良7肺动脉瓣狭窄8降主动脉与肺动脉间管状回声侧支与导管待鉴别曾经治疗情况和效果：无遗传病史想得到怎样的帮助：先天性<entity>为儿童重大疾病之一问能不能申请免费治疗？（）
心脏病,疾病,病情描述发病时间、主要症状、症状变化等）：25周胎儿心超诊断：先天性<entity>：肺动脉瓣狭窄，胎儿左室强光斑检查及化验：胎儿心脏位置正常，静脉曾经治疗情况和效果：正常产检，唐氏筛查低风险2012.11.21在浙江杭州邵逸夫医院胎儿心超目前孕25周，老公父亲有心脑血管疾病想得到怎样的帮助：想咨询下张主任，这种情况，胎儿还能继续妊娠吗？如果出生后需要做什么处理？如果手术的话对孩子今后的生活有什么影响？谢谢想咨询下这种情况，胎儿还能继续妊娠吗？如果出生后需要做什么处理？如果手术的话对孩子今后的生活有什么影响？谢谢！
心脏病,疾病,"为什么一想到如果眼晴看不到东西就呼吸困难,一想到黑暗就喘不上气来，有心痛的感觉，这是心理疾病，还<entity>的症状？"
心脏病,疾病,因为长期熬夜出现胸口疼靠右边严重因为总熬夜睡眠也不好总失眠已经休息半年了胸口还是不舒服最近两个月好像胸口带动的后背疼了我个人总结如果休息不好累到就会不舒服加重曾经治疗情况和效果：做过心电图都没看出是<entity>本人有天生的预激综合征好像还有点失眠窦性心率什么的想得到怎样的帮助：长期熬夜会导致哪种心脏部我应该怎么治疗如果检查都需要做哪种检查？像这种熬夜引起的疾病还会治疗好吗？（）
心脏病,疾病,突然的疼痛有可能是什么疾病？？昨天下午我放假在家里看电视，就突然的胸口这个地方就疼了一下，在以前的时候我也疼过，不过每次都是没有任何征兆的，就是突然间的疼，抽烟抽的多的那一段，疼痛就会更明显，会不会是<entity>什么之类的啊。为什么我会突然的疼痛呢，会不会是什么疾病呢？
心脏病,疾病,先天性<entity>手术属于重大疾病范围吗
心脏病,疾病,几年来一直经常会突发性的先是头晕目眩，接着十几分钟左右目眩消失，转发开始头痛恶心，头痛的位置大概在太阳穴这里，浑身发冷，但睡一觉就会好，睡醒后整个大脑有种震荡的感觉，我现在18岁，患有先天性<entity>，从小就做了手术，一直吃药，这种症状从我很小就有，无论冬夏，不过现在越来越频繁了，这是为什么，会不会有什么隐藏疾病
心脏病,疾病,肺源性<entity>会扩散吗？我最近患了这种疾病了，请问会不会扩散呢
心脏病,疾病,我有<entity>，已经很多年了，最近常出现脑供血不足，偶尔头晕眼花。也不敢轻易外出，害怕发生意外。就像吃点药物缓解一下，不知道那些药物能吃呢？会不会引起心脑血管疾病？
